,label,feature1,feature2
762,-1.0,0.26691406,-3.8111875
765,1.0,0.14672852,-0.4580625
770,1.0,0.19811523,-0.6894375
774,1.0,0.18283203,-1.520625
779,1.0,0.11626172,-0.3598125
785,1.0,0.1512207,-0.6226875
789,1.0,0.10675781,-0.5901875
794,1.0,0.13518945,-1.040625
797,1.0,0.12067969,-1.18375
799,1.0,0.10128711,-0.4778125
807,1.0,0.1440918,-0.530375
809,1.0,0.12871094,-0.45625
814,1.0,0.15054688,-0.7015
825,-1.0,0.32707617,-5.3795
858,1.0,0.22023828,-1.059
861,-1.0,0.36448047,-5.8969375
871,-1.0,0.4319082,-4.9931875
894,1.0,0.19747266,-1.3880625
903,-1.0,0.34739258,-4.986
907,-1.0,0.28666016,-4.5425625
908,-1.0,0.21938672,-3.08825
910,1.0,0.12100586,-0.6644375
916,1.0,0.23962695,-3.3054375
931,1.0,0.18341992,-0.5265625
936,1.0,0.068253906,-1.364625
940,1.0,0.15165234,-0.2708125
942,-1.0,0.28221484,-5.066125
947,-1.0,0.33359375,-4.6084375
950,-1.0,0.24210937,-3.6994375
953,1.0,0.15173438,-0.3281875
958,1.0,0.17936523,-0.338875
959,-1.0,0.39511133,-5.375
967,1.0,0.22475195,-0.9225625
973,1.0,0.13105469,-0.5008125
987,1.0,0.23009766,-1.691
998,-1.0,0.30248438,-5.774375
1013,-1.0,0.18441602,-3.94975
1014,-1.0,0.19592383,-3.6909375
1035,-1.0,0.26565625,-4.6618125
1039,-1.0,0.35425195,-5.4400625
1046,-1.0,0.34451172,-5.8075
1049,-1.0,0.35028711,-6.351625
1051,1.0,0.18833008,-0.6915625
1054,-1.0,0.30993359,-5.042375
1058,-1.0,0.52801953,-5.481
1073,1.0,0.097367187,-0.3933125
1074,1.0,0.11523828,-0.337875
1077,-1.0,0.34674805,-4.9859375
1082,-1.0,0.31473047,-4.4974375
1084,1.0,0.21329102,-1.593375
1087,-1.0,0.16533203,-3.7995
1091,1.0,0.24764258,-2.31925
1092,1.0,0.18626758,-0.37225
1096,1.0,0.11413086,-0.477125
1099,1.0,0.13545703,-0.464375
1100,1.0,0.16185547,-1.519125
1105,1.0,0.10926758,-0.602625
1108,1.0,0.14279883,-0.327
1110,1.0,0.15260742,-0.6134375
1112,1.0,0.13732227,-0.7014375
1113,1.0,0.16117578,-0.577
1116,1.0,0.24395898,-0.680875
1118,1.0,0.1559375,-0.8766875
1134,1.0,0.10433789,-0.7885625
1139,1.0,0.14129492,-0.4656875
1143,-1.0,0.37476758,-6.0885625
1150,1.0,0.12355664,-0.64775
1155,-1.0,0.22929492,-4.1615
1177,-1.0,0.22442969,-3.56525
1179,-1.0,0.33296875,-5.5289375
1181,1.0,0.16250977,-0.47425
1183,1.0,0.082808594,-0.74025
1191,1.0,0.14485938,-0.651875
1197,-1.0,0.27114648,-4.04875
1199,1.0,0.084984375,-0.5738125
1201,1.0,0.17481445,-0.4135
1204,1.0,0.10628906,-0.8430625
1206,1.0,0.10816211,-1.3498125
1207,-1.0,0.21854297,-4.6409375
1209,1.0,0.11371484,-1.3401875
1213,1.0,0.19671875,-0.690875
1218,1.0,0.16481641,-0.7265625
1221,1.0,0.17062695,-1.560375
1223,1.0,0.11067187,-0.37425
1226,1.0,0.16874414,-0.8499375
1227,1.0,0.14517578,-1.09425
1229,1.0,0.21433203,-0.5856875
1234,1.0,0.1915625,-0.5208125
1238,-1.0,0.37276172,-6.2431875
1240,1.0,0.16689258,-0.5921875
1243,-1.0,0.21350781,-4.545
1245,1.0,0.10826172,-1.0439375
1248,-1.0,0.36864453,-5.4316875
1250,1.0,0.13022852,-0.74225
1252,1.0,0.17794922,-0.6195625
1253,1.0,0.16685937,-0.8211875
1256,1.0,0.11771094,-0.544125
1262,1.0,0.13186523,-0.550625
1266,1.0,0.13156836,-0.504875
1271,1.0,0.098625,-0.66875
1276,1.0,0.1880293,-0.5796875
1280,1.0,0.19277148,-0.5951875
1284,1.0,0.22143555,-0.4406875
1289,1.0,0.22935352,-0.6626875
1292,1.0,0.14379492,-0.279
1293,1.0,0.24325195,-0.4575625
1295,1.0,0.12187695,-0.573875
1312,-1.0,0.35889258,-6.5419375
1334,1.0,0.12307812,-0.750125
1339,1.0,0.14494531,-0.4871875
1344,1.0,0.071806641,-0.5965625
1347,1.0,0.10868945,-0.1948125
1349,1.0,0.16311719,-0.6065
1351,-1.0,0.43250195,-4.395375
1352,1.0,0.22277734,-1.3945
1356,1.0,0.11905273,-0.72825
1361,1.0,0.1243418,-0.2868125
1364,1.0,0.13659961,-1.093125
1369,1.0,0.16690234,-0.4658125
1383,1.0,0.13354297,-0.4223125
1386,-1.0,0.37187109,-5.5975
1391,-1.0,0.31933203,-4.76475
1392,1.0,0.15263867,-0.5178125
1408,-1.0,0.29941016,-4.748375
1411,1.0,0.22716406,-0.7374375
1412,-1.0,0.31458398,-6.05
1413,1.0,0.21747852,-0.8331875
1416,1.0,0.098914062,-0.388625
1423,-1.0,0.1780957,-3.2313125
1426,1.0,0.1644043,-0.570625
1431,1.0,0.14757227,-0.2563125
1432,1.0,0.16332227,-0.216
1450,-1.0,0.35349219,-6.191
1452,1.0,0.11821484,-0.8154375
1457,1.0,0.13314062,-0.5588125
1462,1.0,0.12799414,-0.743125
1467,1.0,0.13647852,-0.844625
1475,1.0,0.15538281,-0.9361875
1478,1.0,0.16656641,-0.6311875
1479,1.0,0.14892383,-0.8833125
1480,1.0,0.11047852,-0.599625
1483,1.0,0.13817969,-0.2635
1484,1.0,0.11149023,-0.2650625
1485,1.0,0.21555273,-0.8249375
1488,1.0,0.1419707,-0.6945625
1493,1.0,0.10350977,-0.1501875
1497,1.0,0.085785156,-0.5461875
1498,1.0,0.094929688,-0.6895
1501,1.0,0.10053125,-1.1860625
1503,1.0,0.14802344,-0.3280625
1505,-1.0,0.30542383,-4.773875
1508,1.0,0.11340039,-0.3565625
1511,1.0,0.1297207,-0.468625
1512,1.0,0.093216797,-0.45825
1513,1.0,0.13148437,-0.5563125
1515,-1.0,0.25544727,-3.8409375
1518,1.0,0.16048437,-0.496375
1523,1.0,0.14639062,-1.8294375
1528,1.0,0.12647656,-0.446
1530,-1.0,0.22999023,-4.06075
1533,1.0,0.11014062,-0.635375
1538,1.0,0.24110547,-0.6
1546,1.0,0.25077539,-1.1349375
1552,-1.0,0.21479102,-3.233
1555,1.0,0.14623242,-1.0671875
1558,1.0,0.15272266,-0.494
1559,-1.0,0.2909043,-5.123375
1564,1.0,0.091390625,-0.3915625
1565,1.0,0.20551367,-0.3664375
1568,-1.0,0.25061328,-4.3894375
1569,-1.0,0.20934961,-3.377625
1570,1.0,0.16712305,-0.8416875
1573,1.0,0.19735156,-0.4304375
1574,1.0,0.16803906,-1.3530625
1576,-1.0,0.2040625,-3.052875
1579,1.0,0.10358594,-0.9358125
1584,1.0,0.17791992,-1.055
1588,1.0,0.12116602,-0.2950625
1593,1.0,0.10192383,-0.33725
1598,1.0,0.17878906,-0.7194375
1603,1.0,0.10512695,-0.3761875
1606,1.0,0.11716797,-0.493375
1607,1.0,0.092326172,-0.365625
1608,1.0,0.14992773,-0.4365625
1611,-1.0,0.39625195,-5.7065625
1612,-1.0,0.34291602,-5.659125
1613,1.0,0.15420898,-1.619875
1618,1.0,0.0925,-0.405875
1625,1.0,0.15075781,-0.2981875
1626,1.0,0.14753516,-0.62325
1631,1.0,0.13383789,-0.706375
1636,1.0,0.10614258,-0.2461875
1639,1.0,0.13176758,-0.3184375
1640,1.0,0.11671289,-0.85325
1643,-1.0,0.37918555,-4.8870625
1645,1.0,0.18440625,-0.6248125
1654,1.0,0.15686523,-0.94725
1661,-1.0,0.27834961,-3.9286875
1662,1.0,0.16303125,-1.1005625
1666,1.0,0.14702148,-1.28975
1668,1.0,0.12066406,-0.7008125
1671,1.0,0.095267578,-0.5049375
1681,1.0,0.16949023,-1.1785
1682,1.0,0.15358594,-0.56225
1685,1.0,0.14886328,-0.40175
1692,1.0,0.1994375,-0.463375
1694,1.0,0.12764062,-0.390375
1698,-1.0,0.48716016,-4.86025
1699,1.0,0.11573242,-0.4068125
1708,1.0,0.25565625,-1.4544375
1712,1.0,0.13794531,-0.4776875
1716,1.0,0.22255859,-2.02525
1718,1.0,0.23245703,-1.195625
1719,1.0,0.16217188,-2.327625
1721,1.0,0.10803516,-0.1565625
1728,1.0,0.13883789,-0.8361875
1731,-1.0,0.33233008,-5.5936875
1734,1.0,0.10207617,-1.067
1736,-1.0,0.40561133,-5.3205
1739,-1.0,0.34549414,-5.2533125
1741,-1.0,0.15241797,-2.6614375
1744,1.0,0.11921875,-0.508875
1746,-1.0,0.24530469,-4.861
1749,1.0,0.12054883,-0.5316875
1751,-1.0,0.26879883,-3.4326875
1754,1.0,0.19209375,-0.4173125
1791,1.0,0.10664258,-1.4766875
1793,-1.0,0.19991992,-3.5648125
1796,1.0,0.12649023,-0.3653125
1826,-1.0,0.32481836,-6.3535
1827,1.0,0.18139648,-0.618875
1828,-1.0,0.24904688,-4.5860625
1832,1.0,0.21677539,-1.36575
1835,1.0,0.10305469,-0.2403125
1837,1.0,0.090236328,-0.73775
1848,1.0,0.18232422,-0.7585
1857,1.0,0.1652832,-0.774875
1865,1.0,0.20256055,-1.8050625
1871,1.0,0.096822266,-0.44275
1873,1.0,0.099722656,-0.31875
1878,1.0,0.15209375,-0.8670625
1883,1.0,0.13455859,-0.41975
1887,-1.0,0.26508984,-4.06
1888,1.0,0.090865234,-0.7323125
1893,1.0,0.17518555,-0.4829375
1895,1.0,0.15018359,-0.1978125
1897,1.0,0.13851953,-0.4943125
1898,1.0,0.19461914,-1.3445625
1899,-1.0,0.27323438,-4.118625
1901,1.0,0.11639844,-0.897625
1905,1.0,0.15276953,-0.793625
1906,1.0,0.10781641,-0.6705
1911,1.0,0.096380859,-0.32325
1913,1.0,0.11195312,-0.3650625
1915,1.0,0.10279687,-0.2023125
1916,1.0,0.14711914,-0.7550625
1918,1.0,0.15537305,-0.8425
1921,1.0,0.26716211,-0.6474375
1923,1.0,0.24172656,-0.6289375
1925,1.0,0.19223047,-0.8635
1926,1.0,0.21121289,-0.41525
1928,1.0,0.20566406,-0.5256875
1930,1.0,0.1553125,-0.3605
1931,1.0,0.10585156,-0.4585
1934,-1.0,0.25041016,-4.2638125
1935,-1.0,0.2369043,-4.1780625
1936,1.0,0.18532422,-1.690875
1938,1.0,0.14759375,-0.6025625
1941,1.0,0.15058984,-0.7519375
1943,1.0,0.15495508,-0.492875
1946,1.0,0.1065625,-1.722625
1948,1.0,0.10953125,-1.2106875
1950,1.0,0.073541016,-0.704625
1951,1.0,0.12032031,-0.275875
1954,1.0,0.16873047,-0.674
1956,1.0,0.17599805,-0.4551875
1961,1.0,0.16974609,-0.8895625
1963,1.0,0.19689648,-1.5423125
1966,1.0,0.12021484,-0.266625
1968,1.0,0.12619336,-0.4399375
1970,1.0,0.1387832,-0.2895
1971,1.0,0.24887109,-0.7735625
1975,1.0,0.19436328,-0.691125
1976,1.0,0.22131836,-0.972
1978,1.0,0.14681641,-0.7633125
1979,1.0,0.13424609,-1.040625
1982,1.0,0.10086328,-0.3555
1985,1.0,0.13451758,-0.776
1987,1.0,0.14864063,-0.8965625
1990,1.0,0.089394531,-0.407625
1993,1.0,0.11748828,-0.8951875
1994,-1.0,0.27151172,-4.3516875
1995,1.0,0.077960938,-0.51175
1998,1.0,0.10139063,-0.265875
2000,1.0,0.15570703,-0.706375
2004,-1.0,0.37691602,-4.8575625
2005,1.0,0.1989707,-1.7538125
2009,1.0,0.12149023,-0.6396875
2011,1.0,0.10471094,-0.235125
2016,1.0,0.20061523,-1.3003125
2017,1.0,0.21743555,-0.8601875
2018,-1.0,0.34958789,-6.155125
2023,-1.0,0.27255078,-4.94375
2026,1.0,0.20523633,-0.7739375
2034,1.0,0.18399219,-0.6701875
2037,1.0,0.094521484,-0.787
2042,1.0,0.093222656,-0.914125
2044,1.0,0.23533594,-0.856375
2045,1.0,0.23345117,-1.063375
2046,1.0,0.28416211,-1.2368125
2048,1.0,0.18671094,-0.538125
2049,1.0,0.17999414,-0.934875
2050,1.0,0.20324609,-0.926125
2051,1.0,0.19198828,-0.5795625
2052,1.0,0.17612305,-1.000625
2059,1.0,0.079640625,-0.79925
2063,1.0,0.13176172,-0.646875
2065,1.0,0.24884961,-0.97475
2082,-1.0,0.30758008,-4.352375
2088,-1.0,0.2037168,-4.164625
2090,-1.0,0.17627734,-3.7154375
2092,-1.0,0.20374805,-4.2816875
2100,-1.0,0.3470957,-5.6554375
2103,1.0,0.12444727,-0.638875
2109,-1.0,0.28688477,-4.852125
2110,1.0,0.11802539,-0.5254375
2115,1.0,0.13932031,-1.2410625
2135,-1.0,0.29443555,-4.777625
2138,1.0,0.17714062,-2.3680625
2145,-1.0,0.15448633,-3.7628125
2149,1.0,0.067634766,-1.410875
2158,1.0,0.19523047,-0.8776875
2169,-1.0,0.38319141,-5.44775
2175,1.0,0.089236328,-0.6251875
2186,1.0,0.22025,-3.0306875
2196,1.0,0.091064453,-0.33625
2212,1.0,0.15889062,-0.7723125
2219,1.0,0.11264648,-0.2361875
2222,-1.0,0.25864844,-4.2033125
2224,1.0,0.20147461,-0.6586875
2227,1.0,0.20106445,-0.5115
2229,1.0,0.17035547,-0.60275
2232,1.0,0.20624609,-0.4856875
2234,1.0,0.15667773,-0.576625
2237,1.0,0.12742188,-0.7746875
2239,1.0,0.1367793,-1.2078125
2242,-1.0,0.15593555,-3.0060625
2243,1.0,0.13757031,-0.627
2249,1.0,0.1735625,-0.5236875
2251,1.0,0.13386328,-0.4603125
2256,1.0,0.18241406,-1.7259375
2259,-1.0,0.2882832,-4.770875
2261,-1.0,0.24598828,-4.489875
2264,1.0,0.13016797,-0.4386875
2265,1.0,0.10491016,-0.7456875
2269,-1.0,0.18180469,-3.0364375
2270,1.0,0.21874023,-0.899
2273,1.0,0.20094141,-0.5901875
2279,-1.0,0.38185937,-5.7153125
2286,1.0,0.14100391,-0.72
2289,1.0,0.21762109,-0.919625
2294,1.0,0.14162305,-1.396
2299,-1.0,0.30476953,-5.2653125
2310,1.0,0.231125,-0.94875
2311,-1.0,0.32344922,-5.2779375
2313,1.0,0.13760156,-0.6756875
2314,1.0,0.14508789,-0.4515
2318,1.0,0.12403711,-0.45925
2327,1.0,0.23783789,-0.9815625
2336,-1.0,0.1738125,-3.8840625
2340,1.0,0.091367187,-0.4304375
2347,1.0,0.13489258,-0.252625
2350,1.0,0.11755859,-0.546625
2354,1.0,0.060169922,-0.6791875
2356,1.0,0.15309961,-0.517875
2358,-1.0,0.18081641,-3.34325
2364,-1.0,0.28462695,-4.688625
2369,-1.0,0.36860742,-5.2060625
2371,1.0,0.19113086,-0.9529375
2372,-1.0,0.31378711,-4.869
2373,-1.0,0.2720625,-5.821875
2377,-1.0,0.37411719,-4.8251875
2380,1.0,0.21592969,-0.6776875
2381,-1.0,0.35986719,-5.0923125
2384,1.0,0.13743359,-0.297875
2385,-1.0,0.31410352,-5.3563125
2389,-1.0,0.37716016,-5.5358125
2392,1.0,0.19616016,-0.8749375
2393,-1.0,0.38608203,-5.83775
2394,-1.0,0.17764258,-3.615625
2407,-1.0,0.23594531,-4.2834375
2409,1.0,0.10736719,-0.22725
2410,1.0,0.12208984,-0.3139375
2412,1.0,0.093611328,-0.458625
2422,1.0,0.14385742,-0.716375
2430,1.0,0.15754102,-0.3066875
2454,1.0,0.19193359,-1.929375
2461,-1.0,0.23297852,-3.4668125
2462,1.0,0.11691992,-0.5206875
2464,-1.0,0.33986133,-5.56675
2480,-1.0,0.34370508,-6.6133125
2481,-1.0,0.28977539,-5.54325
2484,1.0,0.16531836,-0.9685
2492,-1.0,0.18545703,-3.2850625
2506,1.0,0.19510156,-0.5563125
2509,1.0,0.17750586,-0.406875
2511,-1.0,0.26604883,-5.25375
2515,1.0,0.14119141,-0.4194375
2519,1.0,0.14755273,-0.888
2520,1.0,0.12993359,-1.4123125
2521,1.0,0.1147207,-0.7149375
2524,-1.0,0.31289453,-4.549
2530,1.0,0.11771484,-0.616875
2535,1.0,0.20846484,-0.99375
2545,1.0,0.094763672,-0.387625
2546,1.0,0.10303711,-0.8368125
2547,1.0,0.095126953,-1.0759375
2552,1.0,0.09196875,-0.3141875
2555,1.0,0.15125391,-0.55175
2560,-1.0,0.2479082,-4.1050625
2562,1.0,0.17710352,-0.5270625
2572,1.0,0.13530078,-0.444875
2574,1.0,0.1347207,-0.775875
2580,1.0,0.20369141,-1.43725
2586,1.0,0.11716797,-0.513625
2592,-1.0,0.27169336,-5.148125
2595,1.0,0.13424219,-0.5000625
2605,1.0,0.14160156,-0.5989375
2609,1.0,0.24479297,-1.2194375
2614,1.0,0.20809961,-0.483625
2615,1.0,0.20914453,-0.4818125
2626,-1.0,0.40190039,-4.0061875
2628,-1.0,0.41519336,-4.189625
2629,-1.0,0.32014844,-4.688375
2634,-1.0,0.18764453,-3.5874375
2639,1.0,0.10148242,-0.4575
2643,1.0,0.091589844,-0.5614375
2648,1.0,0.11670117,-0.622625
2660,1.0,0.12712305,-0.6914375
2675,-1.0,0.30072461,-5.2973125
2676,-1.0,0.24657422,-5.283375
2678,1.0,0.13001367,-0.53625
2688,1.0,0.19203906,-0.745625
2690,1.0,0.13571484,-1.0553125
2692,-1.0,0.20479297,-4.5269375
2694,1.0,0.083164063,-0.5235
2697,-1.0,0.31609375,-4.556375
2700,1.0,0.16033008,-0.694875
2701,1.0,0.16083203,-0.8519375
2702,1.0,0.13907227,-0.529875
2704,-1.0,0.23667383,-3.7280625
2705,1.0,0.18955664,-0.8383125
2710,1.0,0.10375391,-0.212
2716,1.0,0.20165625,-0.8826875
2717,1.0,0.1653418,-1.166875
2720,1.0,0.14779688,-0.9204375
2736,-1.0,0.2713125,-4.0443125
2741,-1.0,0.38089258,-4.9790625
2752,1.0,0.13903711,-0.8685625
2754,1.0,0.12626758,-0.246375
2756,1.0,0.18621875,-1.0839375
2759,1.0,0.18196484,-0.68075
2760,1.0,0.21911914,-0.590625
2764,1.0,0.1649375,-0.4799375
2766,-1.0,0.3780293,-5.445875
2768,1.0,0.14872266,-0.407125
2775,1.0,0.16046484,-0.79175
2777,-1.0,0.22146875,-4.413
2783,1.0,0.22937891,-0.679375
2786,-1.0,0.15563281,-3.469125
2792,1.0,0.18467578,-2.040125
2800,-1.0,0.39191602,-5.2935
2801,1.0,0.16627539,-0.5924375
2802,-1.0,0.37720898,-5.5465625
2805,-1.0,0.28387695,-4.8706875
2813,-1.0,0.284875,-5.496625
2816,1.0,0.1249668,-0.989125
2822,-1.0,0.15659961,-3.070875
2832,1.0,0.092253906,-1.2986875
2836,1.0,0.14417773,-0.458875
2846,-1.0,0.33624023,-6.860125
2852,1.0,0.16164258,-0.3683125
2853,1.0,0.16263477,-0.3573125
2857,-1.0,0.24494141,-4.1144375
2861,-1.0,0.2751875,-4.6055625
2866,-1.0,0.25738867,-4.4885
2869,1.0,0.092449219,-1.3479375
2871,-1.0,0.26739062,-5.0718125
2876,-1.0,0.31599023,-4.90325
2879,1.0,0.15559766,-0.45925
2883,-1.0,0.28314844,-4.734
2888,-1.0,0.31408984,-5.2239375
2890,1.0,0.19182813,-1.3671875
2900,-1.0,0.34810156,-5.0919375
2902,-1.0,0.22113672,-3.8909375
2903,-1.0,0.24269336,-4.49325
2905,1.0,0.11262109,-0.8276875
2906,-1.0,0.39140039,-5.2985625
2907,1.0,0.18350195,-2.1923125
2912,1.0,0.20761914,-1.4529375
2922,1.0,0.1375918,-0.3901875
2934,-1.0,0.40123242,-5.4555625
2950,-1.0,0.33154688,-4.8363125
2952,-1.0,0.35174023,-4.682875
2953,-1.0,0.21965625,-4.0564375
2958,-1.0,0.30915625,-4.5255
2960,-1.0,0.37858984,-6.0868125
2963,-1.0,0.25016406,-5.0289375
2967,-1.0,0.21081055,-3.7844375
2973,1.0,0.11748828,-0.4265
2976,-1.0,0.15663281,-3.2999375
2979,1.0,0.11569922,-0.68975
2997,-1.0,0.28595703,-5.3775625
3002,1.0,0.13530273,-0.4311875
3008,1.0,0.098894531,-0.3690625
3013,1.0,0.16294336,-0.344
3020,-1.0,0.2179043,-4.7313125
3026,-1.0,0.19526562,-3.679375
3027,1.0,0.10410156,-0.1661875
3033,-1.0,0.25605469,-4.37625
3034,-1.0,0.35900977,-5.2805
3038,-1.0,0.33317188,-4.68725
3039,-1.0,0.36764648,-5.1503125
3054,1.0,0.17526562,-0.863125
3069,1.0,0.13030859,-0.74725
3080,1.0,0.13804688,-0.4255
3087,1.0,0.16597852,-0.8105625
3094,1.0,0.10248438,-0.7654375
3098,1.0,0.2320293,-1.118875
3116,1.0,0.22644727,-1.011625
3117,-1.0,0.22788867,-3.7604375
3118,1.0,0.18129492,-0.608375
3122,1.0,0.14631836,-0.4338125
3123,1.0,0.16998828,-1.1355625
3129,1.0,0.13388281,-0.929875
3130,1.0,0.12610742,-0.953125
3138,-1.0,0.24993945,-5.5373125
3140,-1.0,0.18333398,-3.381
3142,1.0,0.11643945,-0.48
3146,-1.0,0.19073438,-4.4073125
3149,-1.0,0.36661328,-6.022
3151,1.0,0.21323438,-0.878375
3152,1.0,0.16304102,-0.6496875
3153,-1.0,0.29732031,-4.5391875
3161,1.0,0.14149414,-0.619625
3167,1.0,0.13190039,-0.535
3168,-1.0,0.36959961,-5.9623125
3171,-1.0,0.34438281,-4.893
3177,1.0,0.20406445,-1.2705625
3183,1.0,0.17159961,-0.75375
3188,-1.0,0.2449043,-4.3559375
3208,-1.0,0.39398437,-5.7020625
3213,1.0,0.13112695,-0.6868125
3219,1.0,0.14714258,-0.4634375
3224,-1.0,0.33589062,-4.5236875
3229,1.0,0.20280469,-1.346875
3235,1.0,0.12524609,-0.281875
3245,1.0,0.20143945,-0.727875
3249,1.0,0.12955469,-1.1235625
3251,1.0,0.090236328,-0.5974375
3259,1.0,0.14189063,-0.6464375
3262,1.0,0.1505293,-1.2823125
3265,1.0,0.16164062,-0.879
3280,-1.0,0.35889453,-4.4951875
3285,1.0,0.21766992,-0.907375
3287,1.0,0.25284766,-1.5586875
3293,1.0,0.12036133,-1.40125
3297,1.0,0.17372852,-0.3841875
3299,-1.0,0.30651367,-4.6270625
3301,-1.0,0.27312891,-4.0998125
3303,1.0,0.13116602,-0.756125
3304,-1.0,0.28589844,-4.4878125
3308,-1.0,0.17125391,-3.1401875
3313,-1.0,0.37286523,-4.83775
3318,1.0,0.11962891,-0.4805625
3328,1.0,0.15900781,-0.5613125
3333,1.0,0.23095703,-0.5875
3342,1.0,0.26035937,-1.318125
3344,1.0,0.19900977,-1.1204375
3349,1.0,0.14235547,-0.5439375
3353,-1.0,0.26533594,-4.871
3360,-1.0,0.24624609,-5.011375
3362,-1.0,0.26099023,-5.0278125
3365,-1.0,0.27323437,-4.4154375
3369,-1.0,0.21907031,-3.1823125
